year,scenario,idhh,dwt,n_person_rows,combined_first,weighted_monthly_expenditure,expenditure_share,yds,bsa00_s_first,bsa00_s_maximum,bsa00_s_sum_all_rows,bsa00_s_sum_unique_positive,bsarg_s_first,bsarg_s_maximum,bsarg_s_sum_all_rows,bsarg_s_sum_unique_positive,bsa00_s_n_positive_rows,bsa00_s_n_unique_positive,bsarg_s_n_positive_rows,bsarg_s_n_unique_positive,imv_only_first,combined_maximum,imv_only_maximum,combined_sum_all_rows,imv_only_sum_all_rows,combined_sum_unique_positive,imv_only_sum_unique_positive
2017,imv_only_sum_all_rows,11553,4095.99,6,,5427637.3089,0.47630968688497244,0.0,0.0,1325.11,1325.11,1325.11,0.0,0.0,0.0,0.0,1,1,0,0,,,,,1325.11,,
2017,imv_only_sum_all_rows,18764,1303.27,4,,1517514.5553000001,0.1331715517345097,960.66,1164.39,1164.39,1164.39,1164.39,201.95,201.95,201.95,201.95,1,1,1,1,,,,,1164.39,,
2017,imv_only_sum_all_rows,11554,1256.76,2,,905583.5532000001,0.07947071517943609,1485.0,0.0,720.57,720.57,720.57,0.0,545.33,545.33,545.33,1,1,1,1,,,,,720.57,,
2017,imv_only_sum_all_rows,15113,968.37,2,,790596.6353999999,0.06937988196856959,1356.57,816.42,816.42,816.42,816.42,435.56,435.56,435.56,435.56,1,1,1,1,,,,,816.42,,
2017,imv_only_sum_all_rows,4325,798.07,2,,672381.9557,0.05900579212642321,1454.41,842.51,842.51,842.51,842.51,435.56,435.56,435.56,435.56,1,1,1,1,,,,,842.51,,
2017,imv_only_sum_all_rows,8334,878.53,2,,504460.7113,0.04426963515986482,2339.13,574.21,574.21,574.21,574.21,481.33,481.33,481.33,481.33,1,1,1,1,,,,,574.21,,
2017,imv_only_sum_all_rows,8231,1139.39,4,,405998.8387,0.03562897974405208,1450.51,0.0,356.33,356.33,356.33,0.0,131.95,131.95,131.95,1,1,1,1,,,,,356.33,,
2017,imv_only_sum_all_rows,4370,592.82,1,,322707.49520000006,0.028319634722478792,769.57,544.36,544.36,544.36,544.36,381.02,381.02,381.02,381.02,1,1,1,1,,,,,544.36,,
2017,imv_only_sum_all_rows,16618,1872.23,5,,321873.7816,0.02824647105269625,3145.93,0.0,171.92,171.92,171.92,0.0,0.0,0.0,0.0,1,1,0,0,,,,,171.92,,
2017,imv_only_sum_all_rows,8262,1274.41,1,,303131.16260000004,0.026601687055678662,1179.48,237.86,237.86,237.86,237.86,381.02,381.02,381.02,381.02,1,1,1,1,,,,,237.86,,
2017,imv_only_sum_all_rows,4354,935.6,5,,223299.652,0.01959596437131848,1955.22,0.0,238.67,238.67,238.67,0.0,0.0,0.0,0.0,1,1,0,0,,,,,238.67,,
2017,combined_sum_unique_positive,11553,4095.99,6,,5427637.3089,0.1262842419160919,0.0,0.0,1325.11,1325.11,1325.11,0.0,0.0,0.0,0.0,1,1,0,0,,,,,,1325.11,
2017,combined_sum_unique_positive,16578,3017.39,2,,3409650.6999999997,0.07933196883699607,1895.58,0.0,0.0,0.0,0.0,1130.0,1130.0,1130.0,1130.0,0,0,1,1,,,,,,1130.0,
2017,combined_sum_unique_positive,15170,2373.85,1,,2088988.0,0.04860425465777441,630.0,0.0,0.0,0.0,0.0,880.0,880.0,880.0,880.0,0,0,1,1,,,,,,880.0,
2017,combined_sum_unique_positive,9783,1698.6,2,,1919418.0,0.044658888067674894,1542.39,0.0,0.0,0.0,0.0,1130.0,1130.0,1130.0,1130.0,0,0,1,1,,,,,,1130.0,
2017,combined_sum_unique_positive,8312,2030.35,1,,1786708.0,0.04157113905445258,500.0,0.0,0.0,0.0,0.0,880.0,880.0,880.0,880.0,0,0,1,1,,,,,,880.0,
2017,combined_sum_unique_positive,18764,1303.27,4,,1780709.9318000001,0.04143158265956305,960.66,1164.39,1164.39,1164.39,1164.39,201.95,201.95,201.95,201.95,1,1,1,1,,,,,,1366.3400000000001,
2017,combined_sum_unique_positive,11554,1256.76,2,,1590932.4840000002,0.03701605159802814,1485.0,0.0,720.57,720.57,720.57,0.0,545.33,545.33,545.33,1,1,1,1,,,,,,1265.9,
2017,combined_sum_unique_positive,11824,1295.38,2,,1463779.4000000001,0.03405759473984735,1981.12,0.0,0.0,0.0,0.0,1130.0,1130.0,1130.0,1130.0,0,0,1,1,,,,,,1130.0,
2017,combined_sum_unique_positive,11560,1609.44,1,,1416307.2,0.032953064269607785,896.28,0.0,0.0,0.0,0.0,880.0,880.0,880.0,880.0,0,0,1,1,,,,,,880.0,
2017,combined_sum_unique_positive,62,1060.63,2,,1266392.2200000002,0.029465008873916117,-2281.67,0.0,0.0,0.0,0.0,1194.0,1194.0,1194.0,1194.0,0,0,1,1,,,,,,1194.0,
2017,combined_sum_unique_positive,8703,1728.97,1,,1262148.1,0.02936626139940781,1231.35,0.0,0.0,0.0,0.0,730.0,730.0,730.0,730.0,0,0,1,1,,,,,,730.0,
2017,combined_sum_unique_positive,15113,968.37,2,,1212379.8726000001,0.028208309511500544,1356.57,816.42,816.42,816.42,816.42,435.56,435.56,435.56,435.56,1,1,1,1,,,,,,1251.98,
2017,combined_sum_unique_positive,8239,1328.52,1,,1169097.6,0.0272012656224894,1750.12,0.0,0.0,0.0,0.0,880.0,880.0,880.0,880.0,0,0,1,1,,,,,,880.0,
2017,combined_sum_unique_positive,15080,1344.83,1,,1162618.9833,0.027050528358361067,1319.27,0.0,0.0,0.0,0.0,864.51,864.51,864.51,864.51,0,0,1,1,,,,,,864.51,
2017,combined_sum_unique_positive,11583,1311.78,1,,1154366.4,0.026858516407934498,1317.34,0.0,0.0,0.0,0.0,880.0,880.0,880.0,880.0,0,0,1,1,,,,,,880.0,
2017,combined_sum_unique_positive,15159,1151.07,2,,1109332.2018,0.02581071065815447,977.87,0.0,0.0,0.0,0.0,0.0,963.74,963.74,963.74,0,0,1,1,,,,,,963.74,
2017,combined_sum_unique_positive,8325,921.03,2,,1032833.8317000001,0.02403083147203896,300.35,0.0,0.0,0.0,0.0,1121.39,1121.39,1121.39,1121.39,0,0,1,1,,,,,,1121.39,
2017,combined_sum_unique_positive,4325,798.07,2,,1019989.3249,0.023731979741219673,1454.41,842.51,842.51,842.51,842.51,435.56,435.56,435.56,435.56,1,1,1,1,,,,,,1278.07,
2017,combined_sum_unique_positive,8334,878.53,2,,927323.5562,0.021575935465257712,2339.13,574.21,574.21,574.21,574.21,481.33,481.33,481.33,481.33,1,1,1,1,,,,,,1055.54,
2017,combined_sum_unique_positive,11620,742.16,2,,879444.7568,0.02046194469137768,1043.43,0.0,0.0,0.0,0.0,1184.98,1184.98,1184.98,1184.98,0,0,1,1,,,,,,1184.98,
2017,imv_only_sum_unique_positive,11553,4095.99,6,,5427637.3089,0.47630968688497244,0.0,0.0,1325.11,1325.11,1325.11,0.0,0.0,0.0,0.0,1,1,0,0,,,,,,,1325.11
2017,imv_only_sum_unique_positive,18764,1303.27,4,,1517514.5553000001,0.1331715517345097,960.66,1164.39,1164.39,1164.39,1164.39,201.95,201.95,201.95,201.95,1,1,1,1,,,,,,,1164.39
2017,imv_only_sum_unique_positive,11554,1256.76,2,,905583.5532000001,0.07947071517943609,1485.0,0.0,720.57,720.57,720.57,0.0,545.33,545.33,545.33,1,1,1,1,,,,,,,720.57
2017,imv_only_sum_unique_positive,15113,968.37,2,,790596.6353999999,0.06937988196856959,1356.57,816.42,816.42,816.42,816.42,435.56,435.56,435.56,435.56,1,1,1,1,,,,,,,816.42
2017,imv_only_sum_unique_positive,4325,798.07,2,,672381.9557,0.05900579212642321,1454.41,842.51,842.51,842.51,842.51,435.56,435.56,435.56,435.56,1,1,1,1,,,,,,,842.51
2017,imv_only_sum_unique_positive,8334,878.53,2,,504460.7113,0.04426963515986482,2339.13,574.21,574.21,574.21,574.21,481.33,481.33,481.33,481.33,1,1,1,1,,,,,,,574.21
2017,imv_only_sum_unique_positive,8231,1139.39,4,,405998.8387,0.03562897974405208,1450.51,0.0,356.33,356.33,356.33,0.0,131.95,131.95,131.95,1,1,1,1,,,,,,,356.33
